"第一章 王子和贫儿的诞生","Chapter I  The Birth of the Prince and the Pauper"
"游行队伍继续行进着，穿过越来越大的华丽场景，受到越来越热烈的欢迎。但对汤姆来说，这些似乎都不曾存在。他既看不见也听不到。王权不再优美和可爱，它的壮丽变成了一种责备。懊悔正在吞噬他的心。他说：“上帝，真希望能逃脱我的囚牢啊！”","The procession moved on, and still on, through ever augmenting splendours and ever augmenting tempests of welcome; but to Tom Canty they were as if they had not been.He neither saw nor heard.Royalty had lost its grace and sweetness; its pomps were become a reproach.Remorse was eating his heart out.He said, “Would God I were free of my captivity!”"
"无意中，他又开始说他在刚刚被迫接受这崇高地位时说的话。","He had unconsciously dropped back into the phraseology of the first days of his compulsory greatness."
"亮闪闪的游行队伍像一条发光的、长长的蛇，仍然穿梭在精致的老城那弯弯曲曲的巷子里，经过欢呼的居民们。而国王仍旧骑着马，低着头，眼神茫然，眼里只能看到母亲的脸和她受伤的神情。","The shining pageant still went winding like a radiant and interminable serpent down the crooked lanes of the quaint old city, and through the huzzaing hosts; but still the King rode with bowed head and vacant eyes, seeing only his mother’s face and that wounded look in it."
"“赏赐，赏赐！”他的耳朵没有听到这些喊声。","“Largess, largess!”The cry fell upon an unheeding ear."
"“英国国王爱德华万岁！”呼喊声震天动地，但是国王没有反应。他听着它，就像是远处海浪拍岸的声音传进了耳朵里，因为它被另外一种更近的声音所压制了。那个声音在他胸腔里，在他自责的良心里，那是一个一直在重复那句羞耻的话的声音：“我不认识你，妇人！”","“Long live Edward of England!”It seemed as if the earth shook with the explosion; but there was no response from the King.He heard it only as one hears the thunder of the surf when it is blown to the ear out of a great distance, for it was smothered under another sound which was still nearer, in his own breast, in his accusing conscience—a voice which kept repeating those shameful words, “I do not know you, woman!”"
"这句话打击着国王的灵魂，好像葬礼的钟声打击着一个活着的朋友的灵魂，因为钟声让他记起他的秘密背叛使去世之人遭受的痛苦。","The words smote upon the King’s soul as the strokes of a funeral bell smite upon the soul of a surviving friend when they remind him of secret treacheries suffered at his hands by him that is gone."
"每个转弯处都有新的壮丽场景出现，新的奇迹、新的惊奇一一映入眼帘。等待的大炮释放了积压的喧腾，等待的人群从喉咙里倾泻出新的欢呼，可是国王没有任何回应，他能听到的只有那个责备的声音，在他不舒服的胸膛里呻吟。","New glories were unfolded at every turning; new wonders, new marvels, sprang into view; the pent clamours of waiting batteries were released; new raptures poured from the throats of the waiting multitudes: but the King gave no sign, and the accusing voice that went moaning through his comfortless breast was all the sound he heard."
"人群脸上的高兴渐渐有些变化，似乎在关心或忧虑着什么，连掌声都变小了。摄政大臣很快注意到了这些，他也很快地找到了原因。他驱马来到国王旁边，在马鞍上弯下身，摘了帽子,说：","By-and-by the gladness in the faces of the populace changed a little, and became touched with a something like solicitude or anxiety: an abatement in the volume of the applause was observable too.The Lord Protector was quick to notice these things: he was as quick to detect the cause.He spurred to the King’s side, bent low in his saddle, uncovered, and said—"
"“我的君主，现在不是做梦的时间。人们注意到了您低下的头和您阴郁的神情，他们以为这是一个征兆。听话，为王权的太阳掀开面纱，让它照耀在这些不吉的水汽上，驱散它们。抬起您的脸，对人们微笑。”","“My liege, it is an ill time for dreaming.The people observe thy downcast head, thy clouded mien, and they take it for an omen.Be advised: unveil the sun of royalty, and let it shine upon these boding vapours, and disperse them.Lift up thy face, and smile upon the people.”"
"这么说着，公爵到处洒了一把硬币，又回到了自己的位置上。假国王机械地按照他说的做了。他的微笑不是发自内心的，只有很少离得很近或很敏锐的眼睛才能够看透。他点点饰有羽毛的头，向他的臣民致意，非常优雅和亲切。他非常慷慨地从手里给予他们赏赐，人们的焦虑也因此不见了，又爆发出像以前一样热烈的欢呼。","So saying, the Duke scattered a handful of coins to right and left, then retired to his place.The mock King did mechanically as he had been bidden.His smile had no heart in it, but few eyes were near enough or sharp enough to detect that.The noddings of his plumed head as he saluted his subjects were full of grace and graciousness; the largess which he delivered from his hand was royally liberal: so the people’s anxiety vanished, and the acclamations burst forth again in as mighty a volume as before."
"游行快要结束时，公爵还是不得不再一次驾马向前去进谏。他低声说：","Still once more, a little before the progress was ended, the Duke was obliged to ride forward, and make remonstrance.He whispered—"
"“噢，敬畏的君主！摆脱这些阴郁的心情吧，世人的眼睛都在看着您。”","“O dread sovereign! shake off these fatal humours; the eyes of the world are upon thee.”"
"接着，他又带着严厉的怒气说：“让那个疯乞丐受死!是她打扰了陛下。”","Then he added with sharp annoyance, “Perdition catch that crazy pauper! ’twas she that hath disturbed your Highness.”"
"这个美丽的人物转过头，眼睛黯然无光地看了看公爵，死气沉沉地说道：","The gorgeous figure turned a lustreless eye upon the Duke, and said in a dead voice—"
"“她是我的母亲！”","“She was my mother!”"
"“我的天啊！”摄政大臣沉吟道，纵马回到了自己的位置上，“征兆预言得对。他又疯了！”","“My God!” groaned the Protector as he reined his horse backward to his post, “the omen was pregnant with prophecy.He is gone mad again!”"
"第三十二章 加冕日","Chapter XXXII  Coronation Day"
"让我们倒回几个钟头，回到难忘的加冕日那天凌晨四点的威斯敏斯特教堂。我们不是没有伴，因为，虽然仍在夜里，我们发现在点着火炬的楼座里已坐满了人。他们非常愿意安静地坐着等待七八个小时，好观看他们一生不会见第二次的事情——国王的加冕仪式。是的，从三点预告炮声响起时，伦敦和威斯敏斯特就开始骚动起来，买到进入楼座起居室特权的没有头衔的富裕市民们已经开始从给他们预留的门口涌入。","Let us go backward a few hours, and place ourselves in Westminster Abbey, at four o’clock in the morning of this memorable Coronation Day.We are not without company; for although it is still night, we find the torch-lighted galleries already filling up with people who are well content to sit still and wait seven or eight hours till the time shall come for them to see what they may not hope to see twice in their lives—the coronation of a King.Yes, London and Westminster have been astir ever since the warning guns boomed at three o’clock, and already crowds of untitled rich folk who have bought the privilege of trying to find sitting-room in the galleries are flocking in at the entrances reserved for their sort."
