"第一章 矛盾的信件","CHAPTER I CONTRADICTORY LETTERS"
"比起其他所有人，哈里似乎更为这个可怜陌生人的特质所吸引。他走近些，从他母亲手里托起内尔的手，眼睛直直地看着她，这时内尔的嘴角翘了翘，像是在微笑。“内尔，”哈里说，“内尔，在那下边——煤矿里——你一直都是独自一人吗？”","Harry, more than all the rest, seemed attracted by the very peculiarity of this poor stranger.He drew near, took Nell’s hand from his mother, and looked directly at her, while something like a smile curved her lip.“Nell,” he said, “Nell, away down there—in the mine—were you all alone?”"
"“独自一人！独自一人！”女孩大叫着，匆匆站起来。她流露出恐惧的神情，原本因哈里的注视而显得柔和的眼睛再次变得非常狂野。“独自一人！”她重复地说道，“独自一人！”——然后她倒在了床上，似乎耗尽了所有的力气。","“Alone! Alone!” cried the girl, raising herself hastily.Her features expressed terror; her eyes, which had appeared to soften as Harry looked at her, became quite wild again.“Alone!” repeated she, “alone!”—and she fell back on the bed, as though deprived of all strength."
"“这个可怜的小孩太虚弱了，还不能和我们说话。”马奇边说边摆好枕头。“等她休息好，多吃一点食物后，她会有力气些。走吧，西蒙和哈里，还有你们大家，让她睡觉。”这样就剩下内尔一个人了，没过几分钟她就沉沉地睡着了。","“The poor bairn is too weak to speak to us.” said Madge, when she had adjusted the pillows.“After a good rest, and a little more food, she will be stronger.Come away, Simon and Harry, and all the rest of you, and let her go to sleep.”So Nell was left alone, and in a very few minutes slept profoundly."
"这件事情不仅在煤矿里，而且在斯特林郡都引起了极大的轰动，最终传遍了整个王国。这个故事的离奇性被夸大了。如果他们知道女孩被发现时是困在坚硬岩石里的，就像那些上古时期的生物偶然间被人们用鹤嘴锄从桎梏它们的石头中解救出来一样，这件事就不会引起这么大的骚动了。内尔在浑然不知的情况下，成为了一个人人皆知的奇迹。迷信的人们使内尔的故事成为他们传奇事迹里的一个新话题，他们都倾向于认为，就像杰克·瑞安告诉哈里的那样，内尔是这个煤矿里的幽灵。","This event caused a great sensation, not only in the coalmines, but in Stirlingshire, and ultimately throughout the kingdom.The strangeness of the story was exaggerated; the affair could not have made more commotion had they found the girl enclosed in the solid rock, like one of those antediluvian creatures who have occasionally been released by a stroke of the pickax from their stony prison.Nell became a fashionable wonder without knowing it.Superstitious folks made her story a new subject for legendary marvels, and were inclined to think, as Jack Ryan told Harry, that Nell was the spirit of the mines."
"“就这样吧，杰克,”年轻的哈里说道，“但无论怎样她是一个好幽灵。当我们被困在下面时，只有她给我们带来面包和水，不可能是其他的人；至于邪恶的幽灵，他一定还在煤矿里，总有一天我们会捉住他的。”","“Be it so, Jack,” said the young man, “but at any rate she is the good spirit.It can have been none but she who brought us bread and water when we were shut up down there; and as to the bad spirit, who must still be in the mine, we’ll catch him some day.”"
"当然，詹姆斯·斯塔尔立即知道了这一切。当年轻的女孩充分恢复体力后，他就来看她了，并小心地试着问她问题。","Of course James Starr had been at once informed of all this, and came, as soon as the young girl had sufficiently recovered her strength, to see her, and endeavor to question her carefully."
"尽管她很聪慧，但她几乎对与生活相关的所有事都显得一无所知，缺少许多基本的概念，比如时间。她从不习惯时间的划分，对表示小时、日、月和年的这些词一概不知。","She appeared ignorant of nearly everything relating to life, and, although evidently intelligent, was wanting in many elementary ideas, such as time, for instance.She had never been used to its division, and the words signifying hours, days, months, and years were unknown to her."
"她的眼睛习惯了黑夜的环境，电盘的刺眼光亮会将它们灼痛；但在黑暗里她的视觉特别敏锐，瞳孔张得异常大，可以看见其他人看来非常模糊的地方。可以肯定的是，她的大脑从未对外部世界留有任何印象，她的眼界也从未超出过煤矿，那些阴暗的深处一直是她的整个世界。","Her eyes, accustomed to the night, were pained by the glare of the electric discs; but in the dark her sight was wonderfully keen, the pupil dilated in a remarkable manner, and she could see where to others there appeared profound obscurity.It was certain that her brain had never received any impression of the outer world, that her eyes had never looked beyond the mine, and that these somber depths had been all the world to her."
"这个可怜的女孩可能不知道有太阳和繁星、城镇和乡郡，以及由无数天体构成的浩瀚宇宙。但是，只有当她理解了目前对她而言还没有确切意义的单词含义后，她才有可能弄清她知道什么。至于内尔是否独自生活在新阿伯福伊尔的幽深处，詹姆斯·斯塔尔不得不留着这个疑问；的确，任何关于这个话题的暗示显然都会在这个奇怪女孩的脑中激起恐慌。内尔不是不会回答就是不愿回答这些问题。但有一点很清楚，那就是这个地方存在一个她本可以解释的秘密。","The poor girl probably knew not that there were a sun and stars, towns and counties, a mighty universe composed of myriads of worlds.But until she comprehended the significance of words at present conveying no precise meaning to her, it was impossible to ascertain what she knew.As to whether or not Nell had lived alone in the recesses of New Aberfoyle, James Starr was obliged to remain uncertain; indeed, any allusion to the subject excited evident alarm in the mind of this strange girl.Either Nell could not or would not reply to questions, but that some secret existed in connection with the place, which she could have explained, was manifest."
"“你愿意和我们住在一起吗？还是愿意回到我们发现你的那个地方呢？”詹姆斯·斯塔尔问道。","“Should you like to stay with us?Should you like to go back to where we found you?” asked James Starr."
"“噢，愿意！”少女大声回答了他的第一个问题，对于第二个问题她只能以一声惊叫来回答。","“Oh, yes!” exclaimed the maiden, in answer to his first question; but a cry of terror was all she seemed able to say to the second."
"对于这种持续的沉默，詹姆斯·斯塔尔，以及西蒙·福特和哈里·福特都不由自主地感到某种强烈的不安。他们发现，要想忘记发现煤矿时所出现的那些费解的事情是不可能的；虽然已经是三年前的事了，并且迄今没有任何新的事件发生，但他们一直有预感，那个隐形的敌人会发动新的攻击。","James Starr, as well as Simon and Harry Ford, could not help feeling a certain amount of uneasiness with regard to this persistent silence.They found it impossible to forget all that had appeared so inexplicable at the time they made the discovery of the coal mine; and although that was three years ago, and nothing new had happened, they always expected some fresh attack on the part of the invisible enemy."
