"Indian Summer of A Forsyte","老福赛特的印第安之夏  "
"“Let me have a line to-morrow morning to the Piedmont Hotel whether to expect you there at 7 o’clock.","“我明晚七点在皮德蒙特饭店等你可以，明早在那儿留张便条告诉我。"
"“Yours affectionately,","你亲爱的，"
"“JOLYON FORSYTE.”","乔利恩·福赛特。”"
"She would understand that he just wanted to give her a little pleasure; for the idea that she should guess he had this itch to see her was instinctively unpleasant to him; it was not seemly that one so old should go out of his way to see beauty, especially in a woman.","她应该明白，他只是想让她高兴一点儿；他不想她猜到自己是这么渴望见到她，这想法让他本能地感到厌恶。如此年迈的老人还这样费心地去欣赏美，尤其是一个女人的美，总是不太合适的。"
"The journey next day, short though it was, and the visit to his lawyer’s, tired him.","第二天进城的路程虽然不远，加上去见律师那一趟，却已经让他觉得累了。"
"It was hot too, and after dressing for dinner he lay down on the sofa in his bedroom to rest a little.","天气又热，换好晚餐的衣服后，他在卧室的沙发上躺下休息了一会儿。"
"He must have had a sort of fainting fit, for he came to himself feeling very queer; and with some difficulty rose and rang the bell.","醒来时他感觉很不对，觉得自己刚刚一定是晕过去了，他艰难地起身按了下铃。"
"Why! it was past seven!","啊，已经七点多了！"
"And there he was and she would be waiting.","他还在这里，她肯定在等了。"
"But suddenly the dizziness came on again, and he was obliged to relapse on the sofa.","可突然又是一阵眩晕，他不得不躺回沙发上。"
"He heard the maid’s voice say:","他听到女佣的声音："
"“Did you ring, sir?”","“您按铃了吗，先生？”"
"“Yes, come here”; he could not see her clearly, for the cloud in front of his eyes.","“是的，过来。”眼前的浑浊让他视线模糊，看不清她，"
"“I’m not well, I want some sal volatile.”","“我不大舒服，给我拿些提神药来。”"
"“Yes, sir.” Her voice sounded frightened.","“好的，先生。”从声音听得出她有些害怕。"
"Old Jolyon made an effort.","老乔利恩使了使劲。"
"“Don’t go.","“等等。"
"Take this message to my niece—a lady waiting in the hall—a lady in grey.","给我侄媳捎个信儿，她正在大厅等着，穿着灰色衣服。"
"Say Mr. Forsyte is not well—the heat.","跟她说天气太热了，福赛特先生不太舒服。"
"He is very sorry; if he is not down directly, she is not to wait dinner.”","就说他很抱歉，要是过会儿他还没下去，就不要等他一起吃晚饭了。”"
"When she was gone, he thought feebly: ‘Why did I say a lady in grey—she may be in anything.","女佣走后，他虚弱无力地想：“为什么要说她穿着灰衣服呢——她穿什么都有可能啊。"
"Sal volatile!’","提神药！”"
"He did not go off again, yet was not conscious of how Irene came to be standing beside him, holding smelling salts to his nose, and pushing a pillow up behind his head.","他没再晕过去，却也没意识到艾琳是如何走到了他身边，拿提神药给他闻，并在他头下垫了个枕头的。"
"He heard her say anxiously: “Dear Uncle Jolyon, what is it?” was dimly conscious of the soft pressure of her lips on his hand; then drew a long breath of smelling salts, suddenly discovered strength in them, and sneezed.","他听到她焦急地说：“亲爱的乔利恩伯伯，您是怎么了？”他隐约感觉到她的嘴唇轻触他的手背，然后他深深吸了一口提神药，突然感觉有了力气，打了个喷嚏。"
"“Ha!” he said, “it’s nothing.","“哈！”他说，“没什么。"
"How did you get here?","你怎么上来了？"
"Go down and dine—the tickets are on the dressing-table.","先下去吃饭——歌剧的票在梳妆台上。"
"I shall be all right in a minute.”","我马上就好。”"
"He felt her cool hand on his forehead, smelled violets, and sat divided between a sort of pleasure and a determination to be all right.","他感觉到她微凉的手放在自己的额头上，他闻到了紫罗兰香，坐在那里一面觉得喜悦，一面想他一定要好起来。"
"“Why!","“怎么！"
"You are in grey!” he said.","你真的穿着灰色衣服！”他说，"
"“Help me up.”","“扶我起来。”"
"Once on his feet he gave himself a shake.","一站起来他就抖了抖身子。"
"“What business had I to go off like that!”","“我怎么能就那样晕过去呢！”"
"And he moved very slowly to the glass.","他慢慢地走向镜子。"
"What a cadaverous chap!","这个老家伙的面色多么惨白！"
"Her voice, behind him, murmured:","在他身后，艾琳轻声说："
"“You mustn’t come down, Uncle; you must rest.”","“您不能下去了，伯伯。您得休息。”"
"“Fiddlesticks!","“瞎说！"
"A glass of champagne’ll soon set me to rights.","来一杯香槟我就没事了。"
"I can’t have you missing the opera.”","我可不能让你错过这场歌剧。”"
"But the journey down the corridor was troublesome.","但是过道那段路却很恼人。"
"What carpets they had in these newfangled places, so thick that you tripped up in them at every step!","他们这种新潮的地方铺的都是些什么地毯啊，那么厚，每走一步都会绊到脚！"
"In the lift he noticed how concerned she looked, and said with the ghost of a twinkle:","在电梯里，注意到艾琳那么担心，他眼睛里闪过一丝亮光，说道："
"“I’m a pretty host.”","“看我这主人当的。”"
"When the lift stopped he had to hold firmly to the seat to prevent its slipping under him; but after soup and a glass of champagne he felt much better, and began to enjoy an infirmity which had brought such solicitude into her manner towards him.","电梯停下来时他不得不紧紧抓住座位，以防自己从椅子上滑下去。不过在喝过汤和一杯香槟之后，他感觉好多了，并且开始享受这种因为身体虚弱而备受艾琳关心的感觉。"
"“I should have liked you for a daughter,” he said suddenly; and watching the smile in her eyes, went on:","“我希望有你这样一个女儿。”他突然说道；看到她眼里的笑意，他又接着说："
"“You mustn’t get wrapped up in the past at your time of life; plenty of that when you get to my age.","“在你这样的年龄，千万别纠缠于过去；等到了我这个年纪，就尽是回忆过去了。"
"That’s a nice dress—I like the style.”","这裙子很漂亮——我喜欢这款式。”"
"“I made it myself.”","“是我自己做的。”"
"Ah! A woman who could make herself a pretty frock had not lost her interest in life.","啊！如果一个女人还会给自己裁制漂亮衣服，那她就没对生活失去热情。"
"“Make hay while the sun shines,” he said; “and drink that up.","“趁年轻享受眼前良辰美景，”他说，“干了这一杯。"
"I want to see some colour in your cheeks.","我想看你脸上泛红的样子。"
"We mustn’t waste life; it doesn’t do.","我们不能浪费生命，千万不能。"
"There’s a new Marguerite to-night; let’s hope she won’t be fat.","今晚演玛格丽特地换了个人，希望她别太胖。"
"And Mephisto—anything more dreadful than a fat chap playing the Devil I can’t imagine.”","还有墨菲斯托——我想象不出比让一个胖子去演魔鬼更可怕的事情。”"
"But they did not go to the opera after all, for in getting up from dinner the dizziness came over him again, and she insisted on his staying quiet and going to bed early.","但他们终究还是没看成歌剧，因为吃完饭刚要站起来，他就又感到一阵眩晕，她坚持让他安静地呆着，早点儿上床休息。"
