"书名白猿（约翰·高尔斯华绥《现代喜剧》三部曲之一）短简介迈克尔和弗勒，一个是贵族子弟，一个是名门望族的大小姐，他们的婚姻表面上令人称羡，实际却是暗潮汹涌。小说中的那幅中国名画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。长简介约翰·高尔斯华绥的长篇小说《白猿》是《现代喜剧》三部曲的第一部。小说通过对比两对身处不同的社会阶层的夫妻，揭示了在特定社会背景下，上流社会的腐朽虚荣和贫民阶级的痛苦和无奈。迈克尔和弗勒，贵族子弟和名门望族的联姻，表面上丰衣足食、令人称羡，实际却是貌合神离、同床异梦；托尼和维多琳一贫如洗、相濡以沫，却只能牺牲自己换取两人安稳度日的梦想，而那梦想也像蓝色蝴蝶，可望而不可即……小说中的那幅画《白猿》恰好是外表光鲜、内在腐朽的上层社会的写照——他们目光贪婪、恐惧，不顾一切地想把一切都攥在手中。关键字白猿；约翰·高尔斯华绥；外研社编译组；长篇；讽刺；小说；资产阶级作者（英）约翰·高尔斯华绥作者简介约翰·高尔斯华绥（1867-1933），英国小说家、剧作家，生于伦敦，曾在牛津大学读法律，后放弃律师工作从事文学创作。1906年出版长篇小说《有产业的人》，获得广泛好评，他也因此而被公认为英国第一流作家。高尔斯华绥最为人称道的是他的三个三部曲：《福尔赛世家》、《现代喜剧》和《尾声》，其中以《福尔赛世家》最为知名，他也凭此于1932年获得诺贝尔文学奖。书评他的作品语言简练、形象生动、讽刺辛辣。    在一个渐渐走向腐朽的社会，人人都贪婪、虚荣，不顾一切地想把一切都攥在手中。"
"The White Monkey","白猿"
"But the Chinese dog, mindful of the flump, made no response....","但这条中国狗还记恨着刚才她把它扔下的那一幕，根本不理她……"

"Chapter XI","第十一章"
"Cocked Hat","三角帽"
"After missing his vocation with the young man Butterfield, Michael had hesitated in the hall.","由于年轻人巴特菲尔德的到访，使迈克尔未完成任务。他在门厅犹豫徘徊了一阵。"
"At last he had not gone upstairs again, but quietly out.","最后他还是决定不上楼，而是选择静悄悄地出去了。"
"He walked past the Houses of Parliament and up Whitehall.","他经过议会大厦，走在白厅大街上。"
"In Trafalgar Square, it occurred to him that he had a father.","在特拉法尔加广场上，他忽然想起自己还有个父亲。"
"Bart might be at ‘Snooks’, The Coffee House, The Aeroplane; and, with the thought, ‘He’d be restful,’ he sought the most modern of the three.","准爵爷也许在“轻蔑”俱乐部，也许在咖啡厅，或者是在飞机俱乐部。于是，抱着“他会使人心静”的念头，他找到了上述三个地方中最时髦的一个。"
"“Yes, Sir Lawrence Mont is in the lounge, sir.”","“是的，先生，劳伦斯·蒙特爵士在休息室。”"
"He was sitting with knees crossed, and a cigar between his finger-tips, waiting for some one to talk to.","他跷着二郎腿坐在那里，手指缝夹着一只雪茄，正等着和人聊天。"
"“Ah!","“啊！"
"Michael!","迈克尔！"
"Can you tell me why I come here?”","你知道我为什么来这儿吗？”"
"“To wait for the end of the world, sir?”","“是为了等待世界末日吗，先生？”"
"Sir Lawrence sniggered.","劳伦斯爵士咧嘴笑了一下。"
"“An idea,” he said.","“说得好，”他说，"
"“When the skies are wrecking civilisation, this will be the best-informed tape in London.","“当大祸临头时，恐怕这个地方是伦敦消息最灵通的地方了。"
"The wish to be in at the death is perhaps the strongest of our passions, Michael.","迈克尔，也许我们最强烈的愿望无非就是亲眼目睹猎物当场被咬死罢了。"
"I should very much dislike being blown up, especially after dinner; but I should still more dislike missing the next show if it’s to be a really good one.","我可绝不愿意被炸得粉身碎骨，尤其是在饱餐之后，但我更不愿意错过下一场演出，如果是一场精彩的演出的话。"
"The air raids were great fun, after all.”","毕竟空袭很有意思。”"
"Michael sighed.","迈克尔叹了口气。"
"“Yes,” he said, “the war got us used to thinking of the millennium, and then it went and stopped, and left the millennium hanging over us.","“是的，”他说，“大战很容易让我们联想到天下和平，但是交战几年后双方就休战了，而天下和平仍悬在我们的头顶上。"
"Now we shall never be happy till we get it.","如今我们要是不得到和平，就永远不会幸福。"
"Can I take one of your cigars, sir?”","我可以拿一支您的雪茄吗，先生？”"
"“My dear fellow!","“亲爱的年轻人！"
"I’ve been reading Frazer again.","最近我又在阅读弗雷泽的作品。"
"Extraordinary how remote all superstition seems, now that we’ve reached the ultimate truth: That enlightenment never can prevail.”","既然我们已经知道最后的真理是：启蒙运动永远不会成功，那么无论一切迷信是多么不切实际，都变得非同寻常了。”"
"Michael stopped the lighting of his cigar.","迈克尔停下来，不再点烟。"
"“Do you really think that, sir?”","“先生，您真的是这样想的吗？”"
"“What else can one think?","“除了这样，你还能想到些什么？"
"Who can have any reasonable doubt now that with the aid of mechanics the headstrong part of man must do him in?","有了机械学的帮助，刚愎自用的人类一定会自取灭亡——谁还会对此有疑问？"
"It’s an unavoidable conclusion from all recent facts.","从最近发生的所有事实来看，这是一条必然的结论。"
"‘Per ardua ad astra,’ ‘Through hard knocks we shall see stars.’”","‘力克困难获殊荣’，‘历经磨难方能见彩虹’。 ”"
"“But it’s always been like that, sir, and here we are alive?”","“先生，但是事情向来如此，我们不是还活着吗？”"
"“They say so, but I doubt it.","“别人都这么说，但是我很怀疑。"
"I fancy we’re really dead, Michael.","迈克尔，我认为我们确实完了。"
"I fancy we’re only living in the past.","我认为我们只是活在过去。"
"I don’t think—no, I don’t think we can be said to expect a future.","我不认为——不，我不认为我们可以被说成怀揣未来的梦想。"
"We talk of it, but I hardly think we hope for one.","我们现在谈未来，但我感觉我们并不希望有将来。"
"Underneath our protestations we subconsciously deduce.","在我们的各种抗议下，我们其实是在下意识地追本溯源。"
"From the mess we’ve made of it these last ten years, we can feel the far greater mess we shall make of it in the next thirty.","从近十年的混乱局面来看，我们可以感觉到，今后30年，局面可能会更加糟糕。"
"Human nature can argue the hind leg off a donkey, but the donkey will be four-legged at the end of the discussion.”","人类的本性就显现在争辩时可以说驴少了一条腿，但争到最后，驴还是四条腿齐全。”"
"Michael sat down suddenly and said:","迈克尔突然一屁股坐下，说道："
"“You’re a bad, bold Bart!”","“您真是一位胆量过人、了不起的准爵爷！”"
"Sir Lawrence smiled.","劳伦斯爵士笑了。"
"“I should be glad to think that men really believed in humanity, and all that, but you know they don’t—they believe in novelty and getting their own way.","“我倒是很愿意认为人们是相信人性的，或者是诸如此类的东西，但是你应该知道人们并不相信——他们相信新鲜奇特的事物，而且喜欢随心所欲。"
"With rare exceptions they’re still monkeys, especially the scientific variety; and when you put gunpowder and a lighted match into the paws of monkeys, they blow themselves up to see the fun.","除了少数特例外，他们仍然是猴子，尤其是从事科学研究的那种人。当你把火药和一根点燃的火柴放在那些猴子的手中时，它们会把自己炸得粉身碎骨，以看看这东西是多么有趣。"
"Monkeys are only safe when deprived of means to be otherwise.”","只有在手无寸铁的情况下，猴子们才是最安全的。”"
"“Lively, that!” said Michael.","“这话真妙！”迈克尔说。"
"“Not livelier than the occasion warrants, my dear boy.","“我亲爱的孩子，这并不比时势更妙。"
"I’ve been thinking.","我一直在想。"
"We’ve got a member here who knows a trick worth twenty of any played in the war—an extraordinarily valuable fellow.","我们这里有个会员，他的一条妙计抵得上20个参过战的战士——一个难能可贵的人才。"
"The Government have got their eye on him.","政府已经关注他了。"
"He’ll help the other valuable fellows in France and Germany and America and Russia to make history.","他正在帮助法国、德国、美国和俄国那些有价值的伙伴们去创造历史。"
"Between them, they’ll do something really proud—something that’ll knock all the other achievements of man into a cocked hat.","他们会做些令他们自己自鸣得意的事情——这些事情足以使人类的其他成就变得一文不值。"
"By the way, Michael, new device of ‘homo sapiens’—the cocked hat.”","顺便说一下，迈克尔，这可是‘智人’的新发明——三角帽。”"
"“Well,” said Michael, “what are you going to do about it?”","“那么，”迈克尔说，“您有何打算呢？”"
"Sir Lawrence’s eyebrow sought his hair.","劳伦斯爵士的眉毛高高挑起。"
"“Do, my dear fellow?","“我亲爱的年轻人，怎么办？"
"What should I do?","我该做什么？"
"Can I go out and grab him and the Government by the slack of their breeches; yes, and all the valuable fellows and Governments of the other countries?","我能出去抓住他和政府的裤脚吗？是的，那也去抓住其他国家的一切大人物和政府的？"
"No!","不能！"
"All I can do is to smoke my cigar and say: ‘God rest you, merry gentlemen, let nothing you dismay!’","我所能做的就是一边抽着雪茄，一边说：‘上帝保佑，快活的先生们，愿你们无忧无虑！’"
"By hook or crook, they will come into their own, Michael; but in the normal course of things I shall be dead before they do.”","迈克尔，他们会不择手段地中饱私囊，但按照事情发展的正常进程，在他们成功之前，我就死了。”"
"“I shan’t,” said Michael","“我不会。”迈克尔说。"
"“No, my dear; but think of the explosions, the sights, the smells.","“不会，亲爱的，但是想想爆炸的情景和那气味。"
"By Jove, you’ve got something to live for, yet.","啊，你还是有值得活下去的念想的。"
"Sometimes I wish I were your age.","有时我真希望自己还是你那样的年纪。"
"And sometimes,” Sir Lawrence relighted his cigar, “I don’t.","而有时呢，”劳伦斯爵士重新点燃了雪茄，“我又不希望。"
"Sometimes I think I’ve had enough of our pretences, and that there’s nothing left but to die like gentlemen.”","有时候我觉得我已经厌烦了我们的装腔作势，所以除了体面地死去之外，实在没有什么可挂念的了。”"
"“Some Jeremiad, Dad!”","“爸，真是悲壮啊！”"
"“Well,” said Sir Lawrence, with a twirl of his little grizzled moustache, “I hope I’m wrong.","“唉，”劳伦斯爵士捻了捻灰白色的小胡子说着，“我希望我错了。"
"But we’re driving fast to a condition of things when millions can be killed by the pressing of a few buttons.","但是我们现在正快速发展到这样的形势中，只要按下电钮，几百万人就会被杀死。"
"What reason is there to suppose that our bumps of benevolence will increase in time to stop our using these great new toys of destruction, Michael!”","但是设想一下，到底有什么原因可以增加我们的仁慈之心，去及时阻止我们使用崭新的且具有毁灭性的玩具呢，迈克尔！”"
"“‘Where you know little, place terrors.’”","“凡不了解的事情，就视为恐怖。”"
