"In the Days of the Comet","彗星来临"
"It is a curious thing, that I cannot now recall any ideas whatever that I had before the Change about the personalities of statesmen, but I doubt if ever in those days I thought of them at all as tangible individual human beings, conceivably of some intellectual complexity.","巨变前我是如何看待政客的，此时我完全想不起来了，这真是怪事。但我怀疑那时候我是否曾将政客们视作有形的个体，能够进行复杂的思维并令人信服的个体。"
"I believe that my impression was a straightforward blend of caricature and newspaper leader.","我觉得政客给我的感觉就是漫画人物和新闻人物的简单组合。"
"I certainly had no respect for them.","我当然对他们毫无尊敬可言了。"
"And now without servility or any insincerity whatever, as if it were a first-fruit of the Change, I found myself in the presence of a human being towards whom I perceived myself inferior and subordinate, before whom I stood without servility or any insincerity whatever, in an attitude of respect and attention.","然而此刻，面对这个人，我不由得自惭形秽，感到卑微低贱。站在他面前，我不由得毕恭毕敬、全神贯注，但没有丝毫卑躬屈膝之态。这大概是巨变带来的第一枚果实。"
"My inflamed, my rancid egotism—or was it after all only the chances of life?—had never once permitted that before the Change.","巨变之前，我那膨胀腐朽的自傲自大从未允许过这种卑贱感觉——或者那只是生活中偶然出现的事件？"
"He emerged from his thoughts, still with a faint perplexity in his manner.","他从沉思中回转过来，神情中还有一丝迷惑。"
"“That speech I made last night,” he said, “was damned mischievous nonsense, you know.","“我昨晚的演讲，”他说，“完全是胡说八道，你知道的。"
"Nothing can alter that.","什么都改变不了那一点。"
"Nothing....","什么都改变不了……"
"No!...","改变不了……"
"Little fat gnomes in evening dress—gobbling oysters.","都是些身着晚礼服的肥胖侏儒——吃着牡蛎饕餮。"
"Gulp!”","狼吞虎咽！”"
"It was a most natural part of the wonder of that morning that he should adopt this incredible note of frankness, and that it should abate nothing from my respect for him.","那天清晨的奇事中最自然的部分就是他令人难以置信的坦诚，然而这丝毫无损于我对他的尊敬。"
"“Yes,” he said, “you are right.","“没错，”他说，“你说得对。"
"It’s all indisputable fact, and I can’t believe it was anything but a dream.”","这些都是不容置疑的事实。我无法相信这只是一场梦而已。”"
"Section 5","第五节"
"That memory stands out against the dark past of the world with extraordinary clearness and brightness.","过去的世界一片黑暗，而我的记忆却异常清晰鲜明。"
"The air, I remember, was full of the calling and piping and singing of birds.","我记得空中到处都能听到鸟儿啼啭歌唱的声音。"
"I have a curious persuasion too that there was a distant happy clamor of pealing bells, but that I am half convinced is a mistake.","另一个令人奇怪的事是，我似乎听到了远处传来的欢快喧闹的钟声。然而我又觉得那或许只是错觉。"
"Nevertheless, there was something in the fresh bite of things, in the dewy newness of sensation that set bells rejoicing in one’s brain.","不过，初生的事物和全新的感官中似乎含有某种东西。它使人兴奋不已，像是给大脑装了欢快的铃铛。"
"And that big, fair, pensive man sitting on the ground had beauty even in his clumsy pose, as though indeed some Great Master of strength and humor had made him.","而那个坐在地上沉思的高大的金发男人，尽管姿势笨拙，却仍散发着美感。似乎他是由某个力量与幽默的大师造就的。"
"And—it is so hard now to convey these things—he spoke to me, a stranger, without reservations, carelessly, as men now speak to men.","他毫无保留、毫无心机地向我，一个陌生人，讲述他的事情，就如同现在的人们相互交流。如今我很难将这些境况表达清楚。"
"Before those days, not only did we think badly, but what we thought, a thousand short-sighted considerations, dignity, objective discipline, discretion, a hundred kindred aspects of shabbiness of soul, made us muffle before we told it to our fellow-men.","此前，人们不仅心怀叵测，而且人们的所思所想——无数目光短浅的顾虑、尊严、客观限制、谨慎，和龌龊心灵的方方面面——使得彼此交谈起来蔵藏掖掖，根本无法开诚布公。"
"“It’s all returning now,” he said, and told me half soliloquizingly what was in his mind.","“现在我全想起来了，”他说，然后半自言自语地说出了他心中所想。"
"I wish I could give every word he said to me; he struck out image after image to my nascent intelligence, with swift broken fragments of speech.","我希望我能一字不落地转述他所说的话，他迅速而残缺的话语在我初醒的脑海中形成一幅幅画面。"
"If I had a precise full memory of that morning I should give it you, verbatim, minutely.","如果我能够完整地回忆起那个早晨的点点滴滴，我一定会完整详细地告诉你。"
"But here, save for the little sharp things that stand out, I find only blurred general impressions.","但是，现在除了一些印象深刻点的零碎片段，脑海里只留下笼统模糊的印象了。"
"Throughout I have to make up again his half-forgotten sentences and speeches, and be content with giving you the general effect.","我始终得重新拼凑他残缺不全的话语，能给你们一个大致的印象，我也十分满足。"
"But I can see and hear him now as he said, “The dream got worst at the end.","而他下面这段话，我仍记得十分清楚：“这场梦最后变得无法收场。"
"The war—a perfectly horrible business!","战争——真是极其可怕的交易！"
"Horrible!","可怕！"
"And it was just like a nightmare, you couldn’t do anything to escape from it—every one was driven!”","它就像梦魇，任何人都无力逃开——每一个人都在噩梦中煎熬。”"
"His sense of indiscretion was gone.","他的话语中不再有轻率之感。"
"He opened the war out to me—as every one sees it now.","他在我眼前摊开了战争的画卷——正如现在的人们所看到的一样。"
"Only that morning it was astonishing.","那个早晨，战争听起来是如此骇人。"
"He sat there on the ground, absurdly forgetful of his bare and swollen foot, treating me as the humblest accessory and as altogether an equal, talking out to himself the great obsessions of his mind.","他坐在地上，竟然忘记了那只赤裸红肿的脚。他视我为最谦卑的伙伴，同时又视我为同伴，向我倾诉他心中的苦闷："
"“We could have prevented it!","“我们本可以避免这场战争的！"
"Any of us who chose to speak out could have prevented it.","要是我们之中有哪怕一个人站出来，这场战争就可以避免的。"
"A little decent frankness.","只要些许体面的坦诚就可以。"
"What was there to prevent us being frank with one another?","是什么让我们无法坦诚相待？"
"Their emperor—his position was a pile of ridiculous assumptions, no doubt, but at bottom—he was a sane man.”","他们的君主——这个位置无疑是由荒谬的假设堆砌而来，但归根结底——他只是个凡人。”"
"He touched off the emperor in a few pithy words, the German press, the German people, and our own.","他简明扼要地评述了德国和我国的君主、媒体以及两国人民。"
"He put it as we should put it all now, but with a certain heat as of a man half guilty and wholly resentful.","我们现在对那一切的评价也不过如他所说。但是他的话语却带着半分的愧疚和十分的厌恶。"
