"第一章 唯一的幸存者","CHAPTER I THERE IS NO ONE LEFT"
"她也可以告诉他，她想她可以只谈迪肯，不提秘密花园。她以前就爱听玛莎说起迪肯。另外，她很渴望谈起他。这样好像就离他更近了一些。","She might as well tell him, she thought she could talk about Dickon without mentioning the secret garden.She had liked to hear Martha talk about him.Besides, she longed to talk about him.It would seem to bring him nearer."
"“他是玛莎的弟弟。他十二岁。”她解释道，“他和世上其他人都不一样。他可以吸引来狐狸、松鼠和小鸟，就像印度土著能吸引蛇一样。他用笛子吹出非常轻柔的曲子，动物们都跑过来听。”","“He is Martha’s brother.He is twelve years old,” she explained.“He is not like any one else in the world.He can charm foxes and squirrels and birds just as the natives in India charm snakes.He plays a very soft tune on a pipe and they come and listen.”"
"柯林那一侧的桌子上有些大书，他突然拖过来一本。“这本书里有张耍蛇人的图。”他大声说，“过来看看。”","There were some big books on a table at his side and he dragged one suddenly toward him.“There is a picture of a snake-charmer in this,” he exclaimed.“Come and look at it.”"
"这书很漂亮，彩插制作也很精良。他翻到其中一幅图。","The book was a beautiful one with superb colored illustrations and he turned to one of them."
"“他能做这个吗？”他急切地问。","“Can he do that?” he asked eagerly."
"“他就吹笛子，动物们就听着。”玛丽解释道，“但他不称之为魔法。他说那是因为自己生活在旷野上，时间长了，就了解了动物的方式。他说他有时候仿佛觉得自己就是一只鸟或是一只兔子，他太喜欢它们了。我觉得他问了知更鸟问题。他们好像用轻柔的喳喳声交谈。”","“He played on his pipe and they listened,” Mary explained.“But he doesn’t call it Magic.He says it’s because he lives on the moor so much and he knows their ways.He says he feels sometimes as if he was a bird or a rabbit himself, he likes them so.I think he asked the robin questions.It seemed as if they talked to each other in soft chirps.”"
"柯林向后靠在靠枕上，眼睛睁得越来越大，脸颊上的两团红色烧了起来。","Colin lay back on his cushion and his eyes grew larger and larger and the spots on his cheeks burned."
"“给我多讲些他的事情。”他说。","“Tell me some more about him,” he said."
"“他知道所有鸟蛋和鸟巢的事情。”玛丽继续，“他知道狐狸、獾、水獭住在哪里。他会保守秘密，这样别的男孩儿就找不到动物的穴，不会吓到它们了。他知道旷野上生长生活着的所有的东西。”","“He knows all about eggs and nests,” Mary went on.“And he knows where foxes and badgers and otters live.He keeps them secret so that other boys won’t find their holes and frighten them.He knows about everything that grows or lives on the moor.”"
"“他喜欢旷野吗？”柯林问，“那旷野那么广大，光秃秃阴沉沉的，他怎么会喜欢那种地方呢？”","“Does he like the moor?” said Colin.“How can he when it’s such a great, bare, dreary place?”"
"“旷野是世上最美丽的地方。”玛丽抗议道，“那里长着成千上百可爱的东西，有成千上百小生物忙着筑巢、挖洞、朝彼此叽叽喳喳叫着、唱歌。它们在地下、树上、石南丛里忙碌着，玩得非常开心。那是它们的世界。”","“It’s the most beautiful place,” protested Mary.“Thousands of lovely things grow on it and there are thousands of little creatures all busy building nests and making holes and burrows and chippering or singing or squeaking to each other.They are so busy and having such fun under the earth or in the trees or heather.It’s their world.”"
"“你怎么知道这么多？”柯林用手肘撑着转身看着玛丽。","“How do you know all that?” said Colin, turning on his elbow to look at her."
"“事实上，我从未去过旷野。”玛丽突然记起了什么，“我只有在晚上坐车经过。当时我觉得旷野令人厌恶。最早是玛莎给我讲旷野，后来是迪肯。迪肯讲的时候，你就感觉好像自己看到了、听到了，好像自己站在石南丛中，阳光普照，金雀花闻起来像蜂蜜——到处都是蜜蜂和蝴蝶。”","“I have never been there once, really,” said Mary suddenly remembering.“I only drove over it in the dark.I thought it was hideous.Martha told me about it first and then Dickon.When Dickon talks about it you feel as if you saw things and heard them and as if you were standing in the heather with the sun shining and the gorse smelling like honey—and all full of bees and butterflies.”"
"“你要是生病，就什么也看不到。”柯林不安地说。他看起来像是一个人听到了从远处传来的陌生的声音，捉摸着那到底是什么。","“You never see anything if you are ill,” said Colin restlessly.He looked like a person listening to a new sound in the distance and wondering what it was."
"“你呆在屋子里，就看不到。”玛丽说。","“You can’t if you stay in a room,” said Mary."
"“我没法去旷野上。”他沮丧地说。","“I couldn’t go on the moor,” he said in a resentful tone."
"玛丽沉默了一下，下一刻说了一句大胆的话。","Mary was silent for a minute and then she said something bold."
"“你也许能——有一天。”","“You might—sometime.”"
"柯林动了动，像是被吓了一跳。","He moved as if he were startled."
"“去旷野上！我怎么可以？我就快要死了。”“你怎么知道？”玛丽毫无同情心地说道。她不喜欢他谈起死亡时的态度。她不怎么同情他。她觉得他反而像是拿这个当作炫耀。","“Go on the moor!How could I?I am going to die.”“How do you know?” said Mary unsympathetically.She didn’t like the way he had of talking about dying.She did not feel very sympathetic.She felt rather as if he almost boasted about it."
"“噢，从我记事起就一直听说。”他不开心地回答道，“他们总在窃窃私语，还以为我注意不到。他们也希望我死。”","“Oh, I’ve heard it ever since I remember,” he answered crossly.“They are always whispering about it and thinking I don’t notice.They wish I would, too.”"
"玛丽小姐觉得非常反感。她抿紧了嘴唇。","Mistress Mary felt quite contrary.She pinched her lips together."
"“如果他们希望我死，”她说，“我偏不死。谁希望你死呢？”","“If they wished I would,” she said, “I wouldn’t.Who wishes you would?”"
"“那些仆人——当然还有克雷文医生，因为那样的话他就能得到米瑟斯韦特庄园，不用受穷了。他不敢这么说，但我状况变差时，他总是看起来那么开心。那次我得风湿热的时候，他的脸变得很胖。我觉得我爸爸也这么希望。”","“The servants—and of course Dr. Craven because he would get Misselthwaite and be rich instead of poor.He daren’t say so, but he always looks cheerful when I am worse.When I had typhoid fever his face got quite fat.I think my father wishes it, too.”"
